timestamp,market_slug,event_type,trade_side,trade_mode,size_requested,size_filled,price,cost,pos_up_size,pos_up_avg_price,pos_down_size,pos_down_avg_price,pos_hedged_pairs,pos_pair_cost,pos_locked_profit,pos_imbalance,pnl_min,pnl_max,pnl_realized,balance_after,status
2025-12-24T15:15:19.358346+00:00,btc-updown-15m-1766589300,TRADE,UP,DIR_AVERAGE_DOWN,4,4,0.5550896394875385,2.220358557950154,4.0,0.5550896394875385,0.0,0.0,0,0,0.0,4.0,0,0,0,97.77964144204985,SUCCESS,BULLISH,average_down,0,86917.09,86994.7,-0.08921233132593202,2686.09095157767
2025-12-24T15:15:20.171980+00:00,btc-updown-15m-1766589300,RESOLUTION,DOWN,BINANCE_FALLBACK_SHARED,4,4,1.0000,2.2204,4,0.5551,0,0.0000,0,0.0000,0.0000,1.00,0.0000,0.0000,-2.2204,97.78,RESOLVED
2025-12-24T15:15:45.696805+00:00,btc-updown-15m-1766590200,TRADE,UP,DIR_AVERAGE_DOWN,4,4,0.4901098423163995,1.960439369265598,4.0,0.4901098423163995,0.0,0.0,0,0,0.0,4.0,0,0,0,95.81920207278425,SUCCESS,BULLISH,average_down,0,86917.43,86904.93,0.014383533822534579,1.2545233034450418
2025-12-24T15:15:56.581229+00:00,btc-updown-15m-1766590200,TRADE,UP,DIR_ACCUMULATE,4,4,0.49016073491427703,1.9606429396571081,8.0,0.4901352886153383,0.0,0.0,0,0,0.0,8.0,0,0,0,93.85855913312714,SUCCESS,BULLISH,accumulate,0,86902.07,86904.93,-0.003290952538579837,0.2992821141904896
2025-12-24T15:16:13.766944+00:00,btc-updown-15m-1766590200,TRADE,DOWN,DIR_REBALANCE,5,5,0.46000015557541707,2.3000007778770852,8.0,0.4901352886153383,5.0,0.46000015557541707,5,0.9501354441907554,0.24932277904622324,3.0,0,0,0,91.55855835525006,SUCCESS,BULLISH,rebalance,0,86893.37,86904.93,-0.0133018920790773,1.2391887318912116
2025-12-24T15:16:24.956253+00:00,btc-updown-15m-1766590200,TRADE,UP,DIR_ACCUMULATE,4,4,0.4901816752404227,1.9607267009616909,12.0,0.49015075082369974,5.0,0.46000015557541707,5,0.9501509063991168,0.24924546800441594,7.0,0,0,0,89.59783165428837,SUCCESS,BULLISH,accumulate,0,86939.16,86904.93,0.03938786901964075,3.682206076516254
2025-12-24T15:16:30.398484+00:00,btc-updown-15m-1766590200,TRADE,DOWN,DIR_REBALANCE,5,5,0.46021860514958585,2.3010930257479294,12.0,0.49015075082369974,10.0,0.46010938036250143,10,0.9502601311862011,0.4973986881379888,2.0,0,0,0,87.29673862854044,SUCCESS,BULLISH,rebalance,0,86949.7,86904.93,0.05151606473879454,4.793854240405142
2025-12-24T15:16:47.248024+00:00,btc-updown-15m-1766590200,TRADE,UP,DIR_AVERAGE_DOWN,3,3,0.4902378284236903,1.4707134852710708,15.0,0.4901681663436978,10.0,0.46010938036250143,10,0.9502775467061992,0.4972245329380076,5.0,0,0,0,85.82602514326936,SUCCESS,BULLISH,average_down,0,86928.54,86904.93,0.027167618684003986,2.402521904597957
2025-12-24T15:21:44.563854+00:00,btc-updown-15m-1766590200,TRADE,DOWN,DIR_ACCUMULATE,5,5,0.4601534693696601,2.3007673468483008,15.0,0.4901681663436978,15.0,0.460124076698221,15,0.9502922430419187,0.7456163543712191,0.0,0,0,0,83.52525779642106,SUCCESS,BEARISH,accumulate,1,86758.02,86904.93,-0.16904679630947167,12.831008021579317
2025-12-24T15:30:01.236145+00:00,btc-updown-15m-1766590200,RESOLUTION,DOWN,BINANCE_FALLBACK_SHARED,30,30,1.0000,14.2544,15,0.4902,15,0.4601,15,0.9503,0.7456,0.00,0.0000,0.0000,0.7456,98.53,RESOLVED
