MARKET: Bitcoin Up or Down - January 7, 9:45PM-10:00PM ET
RESOLUTION: YES
TRADES: 45
TIME RANGE: 2026-01-08 08:15:35 to 2026-01-08 08:26:57
PRICE RANGE: 3.00 - 95.00

--- Position at resolution ---
Remaining YES shares: 383.79
Remaining NO shares:  391.13
Final value: $ 383.79
Total spent (net exposure): $ 426.69
FINAL PNL: $ -42.90

--- Buy/Sell totals ---
YES buys:  383.79 sh / $ 281.75
YES sells: 0.00 sh / $ 0.00
NO buys:   391.13 sh / $ 144.94
NO sells:  0.00 sh / $ 0.00

--- Cumulative buys ---
YES cumulative: 383.79 sh / $ 281.75
NO cumulative:  391.13 sh / $ 144.94

--- Exposure peaks (trade index: earliest → latest) ---
YES dollar peak: $ 281.75 at trade #44
NO dollar peak:  $ 144.94 at trade #45
YES share peak:  383.79 sh at trade #44
NO share peak:   391.13 sh at trade #45

--- Final exposure ---
YES exposure: $ 281.75 | 383.79 sh
NO exposure:  $ 144.94 | 391.13 sh
NET exposure: $ 426.69 | 774.92 sh

--- Trades (Sorted by Timestamp) ---
Idx | Time                | Type | Side | Price(c) |   Shares   |    Cost($)
----+---------------------+------+-----+----------+------------+------------
  1 | 2026-01-08 08:15:35 | Buy  | Up   |    53.00 |      19.69 | $     10.44
  2 | 2026-01-08 08:15:43 | Buy  | Down |    46.00 |      19.69 | $      9.06
  3 | 2026-01-08 08:16:13 | Buy  | Down |    53.00 |      19.69 | $     10.44
  4 | 2026-01-08 08:16:19 | Buy  | Down |    62.00 |      19.72 | $     12.23
  5 | 2026-01-08 08:16:31 | Buy  | Down |    54.00 |      19.69 | $     10.63
  6 | 2026-01-08 08:16:47 | Buy  | Down |    67.00 |      19.76 | $     13.24
  7 | 2026-01-08 08:17:19 | Buy  | Down |    72.00 |      19.80 | $     14.25
  8 | 2026-01-08 08:18:37 | Buy  | Up   |    29.00 |      19.79 | $      5.74
  9 | 2026-01-08 08:18:41 | Buy  | Down |    68.21 |      19.76 | $     13.48
 10 | 2026-01-08 08:18:43 | Buy  | Up   |    36.00 |      19.73 | $      7.10
 11 | 2026-01-08 08:19:11 | Buy  | Down |    55.00 |       4.14 | $      2.28
 12 | 2026-01-08 08:19:11 | Buy  | Down |    55.00 |       4.14 | $      2.28
 13 | 2026-01-08 08:19:11 | Buy  | Down |    55.00 |       4.14 | $      2.28
 14 | 2026-01-08 08:19:11 | Buy  | Down |    55.00 |       4.14 | $      2.28
 15 | 2026-01-08 08:19:11 | Buy  | Down |    55.00 |       4.08 | $      2.24
 16 | 2026-01-08 08:19:33 | Buy  | Down |    48.00 |      19.69 | $      9.45
 17 | 2026-01-08 08:19:35 | Buy  | Up   |    52.00 |       6.60 | $      3.43
 18 | 2026-01-08 08:20:05 | Buy  | Up   |    69.00 |      19.77 | $     13.64
 19 | 2026-01-08 08:20:07 | Buy  | Down |    31.00 |      19.77 | $      6.13
 20 | 2026-01-08 08:20:19 | Buy  | Down |    31.00 |      19.77 | $      6.13
 21 | 2026-01-08 08:20:41 | Buy  | Up   |    66.00 |      19.75 | $     13.03
 22 | 2026-01-08 08:20:59 | Buy  | Up   |    62.00 |      19.72 | $     12.23
 23 | 2026-01-08 08:21:05 | Buy  | Down |    36.25 |      19.73 | $      7.15
 24 | 2026-01-08 08:21:07 | Buy  | Up   |    64.00 |      19.73 | $     12.63
 25 | 2026-01-08 08:21:33 | Buy  | Up   |    85.00 |      18.94 | $     16.10
 26 | 2026-01-08 08:21:35 | Buy  | Down |    15.00 |      19.92 | $      2.99
 27 | 2026-01-08 08:21:35 | Buy  | Down |    15.00 |      19.92 | $      2.99
 28 | 2026-01-08 08:21:37 | Buy  | Down |    16.00 |      19.91 | $      3.19
 29 | 2026-01-08 08:21:39 | Buy  | Down |    18.00 |      19.89 | $      3.58
 30 | 2026-01-08 08:21:47 | Buy  | Up   |    86.00 |      19.93 | $     17.14
 31 | 2026-01-08 08:21:47 | Buy  | Up   |    86.00 |      19.93 | $     17.14
 32 | 2026-01-08 08:21:51 | Buy  | Down |    13.00 |      19.94 | $      2.59
 33 | 2026-01-08 08:21:51 | Buy  | Down |    13.00 |      19.94 | $      2.59
 34 | 2026-01-08 08:22:19 | Buy  | Up   |    80.00 |      19.87 | $     15.90
 35 | 2026-01-08 08:22:23 | Buy  | Up   |    80.74 |      18.89 | $     15.25
 36 | 2026-01-08 08:22:35 | Buy  | Down |    16.00 |      18.91 | $      3.03
 37 | 2026-01-08 08:22:53 | Buy  | Up   |    82.00 |      18.90 | $     15.50
 38 | 2026-01-08 08:23:57 | Buy  | Up   |    80.00 |      18.88 | $     15.10
 39 | 2026-01-08 08:23:57 | Buy  | Up   |    80.00 |      18.88 | $     15.10
 40 | 2026-01-08 08:24:05 | Buy  | Up   |    80.00 |      18.88 | $     15.10
 41 | 2026-01-08 08:24:09 | Buy  | Up   |    87.00 |      17.94 | $     15.61
 42 | 2026-01-08 08:26:25 | Buy  | Up   |    95.00 |      15.99 | $     15.19
 43 | 2026-01-08 08:26:25 | Buy  | Up   |    95.00 |      15.99 | $     15.19
 44 | 2026-01-08 08:26:25 | Buy  | Up   |    95.00 |      15.99 | $     15.19
 45 | 2026-01-08 08:26:57 | Buy  | Down |     3.00 |      15.00 | $      0.45
