timestamp,market_slug,event_type,trade_side,trade_mode,size_requested,size_filled,price,cost,pos_up_size,pos_up_avg_price,pos_down_size,pos_down_avg_price,pos_hedged_pairs,pos_pair_cost,pos_locked_profit,pos_imbalance,pnl_min,pnl_max,pnl_realized,balance_after,status,bias,action,flip_count,btc_price,btc_strike,btc_change_pct,btc_zscore
2025-12-20T15:50:56.657972+00:00,btc-updown-15m-1766245500,TRADE,UP,DIR_AVERAGE_DOWN,5,5,0.760095628971177,3.800478144855885,5.0,0.760095628971177,0.0,0.0,0,0,0.0,5.0,0,0,0,96.19952185514411,SUCCESS,BULLISH,average_down,0,88206.61,88206.61,0.0,1.7354008314787917e-08
2025-12-20T15:50:57.074847+00:00,btc-updown-15m-1766245500,TRADE,UP,DIR_ACCUMULATE,5,2,0.7703346868936933,1.5406693737873867,7.0,0.763021074091896,0.0,0.0,0,0,0.0,7.0,0,0,0,94.65885248135673,SUCCESS,BULLISH,accumulate,0,88206.61,88206.61,0.0,1.7354008314787917e-08
2025-12-20T15:50:57.511393+00:00,btc-updown-15m-1766245500,TRADE,DOWN,DIR_REBALANCE,5,5,0.24002573717831915,1.2001286858915958,7.0,0.763021074091896,5.0,0.24002573717831915,5,1.003046811270215,-0.015234056351075553,2.0,0,0,0,93.45872379546513,SUCCESS,BULLISH,rebalance,0,88206.61,88206.61,0.0,1.722006580127091e-08
2025-12-20T15:50:57.905156+00:00,btc-updown-15m-1766245500,TRADE,UP,DIR_AVERAGE_DOWN,5,3,0.7700084344520756,2.310025303356227,10.0,0.7651172821999499,5.0,0.24002573717831915,5,1.005143019378269,-0.025715096891345546,5.0,0,0,0,91.1486984921089,SUCCESS,BULLISH,average_down,0,88206.61,88206.61,0.0,1.722006580127091e-08
2025-12-20T15:50:58.291396+00:00,btc-updown-15m-1766245500,TRADE,UP,DIR_ACCUMULATE,5,1,0.7801609525819108,0.7801609525819108,11.0,0.7664848885983099,5.0,0.24002573717831915,5,1.006510625776629,-0.03255312888314488,6.0,0,0,0,90.368537539527,SUCCESS,BULLISH,accumulate,0,88206.61,88206.61,0.0,1.7089176538615008e-08
2025-12-20T15:50:58.879755+00:00,btc-updown-15m-1766245500,TRADE,DOWN,DIR_REBALANCE,5,5,0.2500032564858509,1.2500162824292547,11.0,0.7664848885983099,10.0,0.24501449683208504,10,1.0114993854303949,-0.1149938543039486,1.0,0,0,0,89.11852125709774,SUCCESS,BULLISH,rebalance,0,88206.6,88206.61,-1.133701884106113e-05,3.0043297572461842
2025-12-20T15:50:59.276225+00:00,btc-updown-15m-1766245500,TRADE,UP,DIR_AVERAGE_DOWN,4,4,0.7600112715279438,3.040045086111775,15.0,0.7647585907128789,10.0,0.24501449683208504,10,1.009773087544964,-0.09773087544963976,5.0,0,0,0,86.07847617098597,SUCCESS,BULLISH,average_down,0,88206.6,88206.61,-1.133701884106113e-05,2.690525634551845
2025-12-20T15:58:05.890147+00:00,btc-updown-15m-1766245500,TRADE,UP,DIR_AVERAGE_DOWN,5,5,0.8800736797853517,4.400368398926759,5.0,0.8800736797853517,0.0,0.0,0,0,0.0,5.0,0,0,0,95.59963160107324,SUCCESS,BULLISH,average_down,0,88193.61,88193.61,0.0,4.166100950644687e-08
2025-12-20T15:58:06.326637+00:00,btc-updown-15m-1766245500,TRADE,DOWN,DIR_EMERGENCY,5,5,0.13006057099934462,0.6503028549967231,5.0,0.8800736797853517,5.0,0.13006057099934462,5,1.0101342507846962,-0.05067125392348104,0.0,0,0,0,94.94932874607652,SUCCESS,BULLISH,emergency,0,88193.6,88193.61,-1.1338689951302946e-05,1.0936965766107865
2025-12-20T15:58:15.209246+00:00,btc-updown-15m-1766245500,TRADE,UP,DIR_AVERAGE_DOWN,5,1,0.8202844043422696,0.8202844043422696,6.0,0.8701088005448381,5.0,0.13006057099934462,5,1.0001693715441826,-0.0008468577209130856,1.0,0,0,0,94.12904434173424,SUCCESS,BULLISH,average_down,0,88193.6,88193.61,-1.1338689951302946e-05,3.920675532518505
